start_date,end_date,VHI_mean,Drought_index_mean,TCI_mean,VCI_mean
2000-07-16,2000-08-01,0.4882059134376461,4.40674355065689,0.6552855935199666,0.3211262333552697
2000-09-18,2000-10-04,0.3905195243197127,4.231345070152525,0.48553591024256476,0.29550313839699066
2001-07-19,2001-08-04,0.4722632681735111,4.661914147542787,0.4616792898064319,0.4828472465406422
2001-09-05,2001-09-21,0.3248992240961145,3.6234316013090786,0.3755200849984995,0.27427836319372745
2001-09-21,2001-10-07,0.3826348152562105,4.082832130164734,0.4368520369524118,0.3284175935600531
2002-07-06,2002-07-22,0.39521812312877763,4.310411074531561,0.38843223967326923,0.4020040065843701
2002-07-22,2002-08-07,0.39206211440637073,4.162068725256718,0.380065459716899,0.40405876909587934
2002-08-23,2002-09-08,0.36899919252331503,4.155200444382359,0.32214797147100954,0.415850413575595
2002-09-08,2002-09-24,0.4145796886692218,4.303017217983098,0.42774969466217266,0.4014096826762586
2003-07-25,2003-08-10,0.41262019710429154,4.383947211943801,0.39523236544984197,0.43000802875879335
2003-09-27,2003-10-13,0.442594598428306,4.710924369880107,0.5176180355495689,0.3675711613068839
2004-07-27,2004-08-12,0.43178488378877083,4.542495200898866,0.523508977387832,0.340060790189792
2004-08-28,2004-09-13,0.38197505804614285,4.199779612889074,0.40517148794286995,0.3587786281491867
2004-09-13,2004-09-29,0.37218566583414503,4.193182778552628,0.37485666297290393,0.36951466869539484
2004-09-29,2004-10-15,0.453367123308509,4.738438122158718,0.539421814359515,0.36731243225743193
2005-07-14,2005-07-30,0.3786739140856192,4.093207015205773,0.2965075133027066,0.4608403148685366
2005-09-16,2005-10-02,0.4690572177404447,4.914711948932858,0.5900865200442642,0.3480279154366336
